Geneid	Chr	Start	End	Strand	Length	SRR6344904	SRR6344905	SRR6344906	SRR6344910	SRR6344912	SRR6344913
G372_RS0100140	NZ_ARQK01000009.1	1610	2527	-	918	666	525	591	421	474	268
G372_RS0100145	NZ_ARQK01000009.1	2642	3526	-	885	940	692	870	565	696	389
G372_RS13620	NZ_ARQK01000010.1	1	1605	+	1605	6712	12719	8024	2033	2485	1184
G372_RS0100155	NZ_ARQK01000010.1	1733	2059	+	327	430	329	455	295	274	215
G372_RS0100160	NZ_ARQK01000010.1	2206	4206	+	2001	6917	10174	6729	3032	3220	1913
G372_RS0100165	NZ_ARQK01000011.1	244	1383	+	1140	403	381	397	205	124	242
G372_RS0100170	NZ_ARQK01000011.1	1443	2387	+	945	160	239	126	50	32	70
G372_RS0100175	NZ_ARQK01000011.1	2404	3396	+	993	205	293	169	53	31	52
G372_RS0100180	NZ_ARQK01000011.1	3396	4391	+	996	132	223	109	57	39	35
G372_RS0100185	NZ_ARQK01000012.1	138	797	-	660	318	260	278	233	219	143
G372_RS0100190	NZ_ARQK01000012.1	870	1460	-	591	207	66	183	270	154	169
G372_RS0100195	NZ_ARQK01000012.1	1603	2442	+	840	333	345	290	645	645	325
G372_RS0100200	NZ_ARQK01000012.1	2541	3485	-	945	811	665	658	920	852	619
G372_RS0100205	NZ_ARQK01000012.1	3490	4935	-	1446	460	631	448	726	680	505
G372_RS0100210	NZ_ARQK01000012.1	5059	5334	+	276	126	120	99	141	143	67
G372_RS0100215	NZ_ARQK01000013.1	161	952	-	792	51	88	26	65	56	34
G372_RS0100220	NZ_ARQK01000013.1	1337	2611	-	1275	1092	1065	799	699	551	394
G372_RS0100225	NZ_ARQK01000013.1	2696	3337	-	642	25	38	10	8	4	2
G372_RS0100230	NZ_ARQK01000013.1	3330	4115	-	786	68	70	77	49	51	33
G372_RS0100235	NZ_ARQK01000013.1	4200	4643	+	444	57	128	58	155	226	31
G372_RS0100240	NZ_ARQK01000013.1	4642	5325	-	684	123	115	116	237	387	71
G372_RS13425	NZ_ARQK01000014.1	1	351	+	351	135	40	104	140	99	92
G372_RS0100250	NZ_ARQK01000014.1	527	2185	-	1659	4471	4255	5250	3087	2745	2520
G372_RS0100255	NZ_ARQK01000014.1	2233	3432	-	1200	1844	1875	1980	820	851	731
G372_RS0100260	NZ_ARQK01000014.1	3435	4304	-	870	1226	1487	1420	588	577	379
G372_RS0100265	NZ_ARQK01000014.1	4301	4846	-	546	768	747	782	456	445	348
G372_RS0100270	NZ_ARQK01000014.1	5037	5456	+	420	1612	2906	1505	1069	1322	790
G372_RS0100275	NZ_ARQK01000014.1	5474	5992	-	519	1370	1245	1283	1020	693	818
G372_RS0100280	NZ_ARQK01000014.1	6143	7006	+	864	523	447	521	541	471	374
G372_RS13430	NZ_ARQK01000015.1	1	320	+	320	1675	1455	1911	649	549	454
G372_RS0100290	NZ_ARQK01000015.1	394	2298	-	1905	2198	1837	1958	1074	857	738
G372_RS0100295	NZ_ARQK01000015.1	2323	2985	-	663	368	290	369	345	251	300
G372_RS0100300	NZ_ARQK01000015.1	3389	4774	+	1386	18750	20555	17789	6160	6331	4167
G372_RS0100315	NZ_ARQK01000015.1	5154	6218	+	1065	1470	947	1281	2063	1431	840
G372_RS0100320	NZ_ARQK01000015.1	6211	7323	+	1113	1150	1719	1146	3368	5263	1458
G372_RS0100325	NZ_ARQK01000015.1	7425	7751	+	327	1144	1234	1302	4290	7410	1477
G372_RS0100330	NZ_ARQK01000016.1	218	1450	+	1233	305	687	295	327	333	159
G372_RS0100335	NZ_ARQK01000016.1	1481	2950	+	1470	528	443	500	438	286	305
G372_RS0100340	NZ_ARQK01000016.1	3050	3415	+	366	116	94	88	85	75	77
G372_RS14245	NZ_ARQK01000016.1	3527	3667	+	141	2	0	2	5	7	2
G372_RS0100350	NZ_ARQK01000016.1	3683	6193	+	2511	127	214	132	97	81	87
G372_RS0100355	NZ_ARQK01000016.1	6193	7776	+	1584	251	345	259	189	117	144
G372_RS0100360	NZ_ARQK01000016.1	7808	8641	+	834	106	147	100	69	88	38
G372_RS13435	NZ_ARQK01000017.1	1	426	+	426	593	403	561	274	152	211
G372_RS0100370	NZ_ARQK01000017.1	591	5051	+	4461	5751	8005	5709	6491	8862	2478
G372_RS0100375	NZ_ARQK01000017.1	5490	7271	+	1782	420	493	332	360	364	209
G372_RS0100380	NZ_ARQK01000017.1	7243	9360	+	2118	6646	8454	6463	5186	14077	2099
G372_RS0100390	NZ_ARQK01000018.1	362	784	-	423	2608	2912	2819	1454	1410	1137
G372_RS0100395	NZ_ARQK01000018.1	885	1244	+	360	642	495	686	1032	800	506
G372_RS0100400	NZ_ARQK01000018.1	1266	1697	-	432	117	127	102	196	198	87
G372_RS0100405	NZ_ARQK01000018.1	1690	2127	-	438	197	273	176	225	246	100
G372_RS0100410	NZ_ARQK01000018.1	2130	3485	-	1356	698	680	716	550	460	300
G372_RS0100415	NZ_ARQK01000018.1	3701	4177	+	477	215	215	239	311	283	118
G372_RS0100420	NZ_ARQK01000018.1	4272	4571	-	300	42	76	28	95	64	19
G372_RS0100425	NZ_ARQK01000018.1	4578	4988	-	411	12	62	11	27	42	25
G372_RS0100430	NZ_ARQK01000018.1	4995	5300	-	306	53	71	50	71	41	57
G372_RS0100435	NZ_ARQK01000018.1	5319	6536	-	1218	158	61	151	193	114	165
G372_RS0100440	NZ_ARQK01000018.1	6677	6895	-	219	79	78	95	64	47	57
G372_RS0100445	NZ_ARQK01000018.1	7501	10023	-	2523	110	189	114	156	121	123
G372_RS0100450	NZ_ARQK01000018.1	10036	11226	-	1191	185	308	119	102	75	67
G372_RS0100455	NZ_ARQK01000019.1	305	1399	-	1095	649	850	450	803	668	464
G372_RS0100460	NZ_ARQK01000019.1	1399	2700	-	1302	1339	1777	1109	1248	1116	573
G372_RS0100465	NZ_ARQK01000019.1	2718	3782	-	1065	1158	827	986	1445	1088	695
G372_RS0100470	NZ_ARQK01000019.1	3796	4443	-	648	451	473	350	1038	1766	367
G372_RS0100475	NZ_ARQK01000019.1	4779	6035	-	1257	1008	1183	995	2894	2910	1454
G372_RS0100480	NZ_ARQK01000019.1	6128	6451	-	324	38	133	41	57	63	25
G372_RS0100485	NZ_ARQK01000019.1	6447	7112	-	666	582	768	648	491	473	242
G372_RS0100490	NZ_ARQK01000019.1	7137	7592	-	456	180	186	222	203	196	99
G372_RS0100495	NZ_ARQK01000019.1	7617	8396	-	780	364	241	317	273	206	174
G372_RS0100500	NZ_ARQK01000019.1	8392	9222	-	831	342	355	330	305	239	176
G372_RS0100505	NZ_ARQK01000019.1	9307	9945	-	639	167	215	124	168	175	78
G372_RS0100510	NZ_ARQK01000019.1	10021	11115	+	1095	364	758	293	323	324	240
G372_RS0100515	NZ_ARQK01000019.1	11125	12039	+	915	105	85	74	86	91	78
G372_RS0100520	NZ_ARQK01000020.1	188	1039	-	852	109	119	58	146	136	63
G372_RS0100525	NZ_ARQK01000020.1	1118	2002	+	885	336	290	290	509	348	206
G372_RS0100530	NZ_ARQK01000020.1	2049	2840	+	792	169	415	163	226	177	92
G372_RS0100535	NZ_ARQK01000020.1	2859	3173	-	315	177	174	158	183	129	103
G372_RS0100540	NZ_ARQK01000020.1	3191	4315	-	1125	204	257	169	249	280	109
G372_RS0100545	NZ_ARQK01000020.1	4440	8114	+	3675	311	660	304	282	261	120
G372_RS0100550	NZ_ARQK01000020.1	8183	9217	+	1035	96	84	97	289	317	108
G372_RS0100555	NZ_ARQK01000020.1	9226	9996	+	771	43	87	40	132	154	63
G372_RS0100560	NZ_ARQK01000020.1	10150	10926	+	777	648	588	549	683	646	270
G372_RS0100565	NZ_ARQK01000020.1	11298	12104	+	807	1224	951	976	880	1149	369
G372_RS0100570	NZ_ARQK01000020.1	12110	12364	+	255	289	432	303	295	331	126
G372_RS0100575	NZ_ARQK01000020.1	12520	13039	+	520	397	328	286	423	373	226
G372_RS13440	NZ_ARQK01000021.1	4	96	-	93	117	336	95	366	973	87
G372_RS0100585	NZ_ARQK01000021.1	145	2238	-	2094	25520	27700	25243	56547	79067	15554
G372_RS0100590	NZ_ARQK01000021.1	2264	2728	-	465	3337	3674	3238	12056	12211	3360
G372_RS0100595	NZ_ARQK01000021.1	2758	3132	-	375	2063	2181	1811	8380	13029	2394
G372_RS0100600	NZ_ARQK01000021.1	3245	7462	-	4218	18783	30035	20165	17626	21493	10098
G372_RS0100605	NZ_ARQK01000021.1	7539	11615	-	4077	17750	21587	16474	18776	21095	9257
G372_RS0100610	NZ_ARQK01000021.1	11749	12126	-	378	2232	5678	2256	2682	2692	1585
G372_RS0100615	NZ_ARQK01000021.1	12196	12714	-	519	6219	5453	6289	10050	7589	5312
G372_RS0100620	NZ_ARQK01000021.1	12939	13631	-	693	3508	2939	3020	6087	4617	2393
G372_RS0100625	NZ_ARQK01000021.1	13636	14064	-	429	2858	3406	2608	5851	7054	2452
G372_RS0100630	NZ_ARQK01000021.1	14130	14660	-	531	1291	1417	1151	3250	5678	1487
G372_RS0100635	NZ_ARQK01000021.1	14680	15042	-	363	2289	1840	2510	6421	6875	2912
G372_RS13690	NZ_ARQK01000021.1	15247	15312	-	66	122	265	69	193	447	35
G372_RS0100645	NZ_ARQK01000022.1	205	813	+	609	320	422	310	516	686	281
G372_RS0100650	NZ_ARQK01000022.1	1077	1721	-	645	391	475	465	604	817	357
G372_RS0100655	NZ_ARQK01000022.1	1735	2226	-	492	49	44	31	57	97	57
G372_RS0100660	NZ_ARQK01000022.1	2244	4949	-	2706	1154	1607	1031	1089	1078	562
G372_RS0100665	NZ_ARQK01000022.1	5061	5783	+	723	790	616	715	666	461	471
G372_RS0100670	NZ_ARQK01000022.1	5789	6193	+	405	241	217	234	213	190	144
G372_RS0100675	NZ_ARQK01000022.1	6196	7029	+	834	218	330	181	210	129	143
G372_RS0100680	NZ_ARQK01000022.1	7066	7716	+	651	728	1205	563	579	368	459
G372_RS0100685	NZ_ARQK01000022.1	7893	8987	+	1095	464	536	384	563	700	397
G372_RS0100690	NZ_ARQK01000022.1	8990	10423	+	1434	511	978	487	507	655	310
G372_RS0100695	NZ_ARQK01000022.1	10463	11452	-	990	839	1045	742	906	994	478
G372_RS0100700	NZ_ARQK01000022.1	11451	11912	+	462	34	58	41	37	21	11
G372_RS0100705	NZ_ARQK01000022.1	12037	12906	+	870	1592	1513	1590	1146	762	971
G372_RS0100710	NZ_ARQK01000022.1	13146	14351	+	1206	2153	1729	1967	9338	3832	6859
G372_RS0100715	NZ_ARQK01000022.1	14457	15110	-	654	5662	5675	5838	2226	1597	1877
G372_RS13700	NZ_ARQK01000023.1	1	627	+	627	66	128	50	49	61	17
G372_RS0100730	NZ_ARQK01000023.1	688	1440	+	753	150	108	122	111	105	71
G372_RS0100735	NZ_ARQK01000023.1	1446	1859	+	414	140	82	117	87	89	56
G372_RS13705	NZ_ARQK01000023.1	1859	2029	+	171	14	13	8	7	1	1
G372_RS0100745	NZ_ARQK01000023.1	2135	4303	+	2169	208	174	225	240	199	128
G372_RS0100750	NZ_ARQK01000023.1	4496	4684	+	189	148	132	151	465	535	262
G372_RS0100755	NZ_ARQK01000023.1	4825	5079	-	255	50	104	29	137	295	52
G372_RS0100760	NZ_ARQK01000023.1	5316	5984	+	669	239	224	205	309	274	284
G372_RS0100765	NZ_ARQK01000023.1	6024	6467	-	444	554	996	519	1202	1155	952
G372_RS0100770	NZ_ARQK01000023.1	6496	6708	-	213	123	307	103	215	114	216
G372_RS0100775	NZ_ARQK01000023.1	6783	7904	-	1122	47	107	61	106	162	31
G372_RS0100780	NZ_ARQK01000023.1	7994	8683	+	690	711	540	682	1019	625	647
G372_RS0100785	NZ_ARQK01000023.1	8679	9182	+	504	290	211	249	264	186	160
G372_RS0100790	NZ_ARQK01000023.1	9499	9978	+	480	67	55	72	122	136	98
G372_RS0100795	NZ_ARQK01000023.1	10161	11819	-	1659	313	809	267	297	348	147
G372_RS0100800	NZ_ARQK01000023.1	11830	12705	-	876	561	671	502	423	332	219
G372_RS0100805	NZ_ARQK01000023.1	12818	13870	+	1053	740	931	727	556	452	381
G372_RS0100810	NZ_ARQK01000023.1	14001	14579	+	579	235	376	216	433	795	182
G372_RS0100815	NZ_ARQK01000023.1	14705	16633	+	1929	5222	7699	5160	9244	15665	4215
G372_RS0100820	NZ_ARQK01000023.1	16778	17923	+	1146	601	758	519	1065	1504	434
G372_RS13450	NZ_ARQK01000024.1	4	123	-	120	39	35	38	101	139	119
G372_RS0100830	NZ_ARQK01000024.1	534	1919	-	1386	367	327	337	417	406	203
G372_RS0100835	NZ_ARQK01000024.1	2090	4936	+	2847	1356	1356	1208	2715	2848	1077
G372_RS0100840	NZ_ARQK01000024.1	5032	5424	-	393	1247	1076	1198	2887	2442	1362
G372_RS0100845	NZ_ARQK01000024.1	5470	6453	-	984	7324	13511	8118	15779	21689	6142
G372_RS0100850	NZ_ARQK01000024.1	6487	7104	-	618	4935	4909	5480	8066	8902	3308
G372_RS0100855	NZ_ARQK01000024.1	7123	7509	-	387	2518	1729	2961	4065	2459	1883
G372_RS0100860	NZ_ARQK01000024.1	7534	7887	-	354	1197	1308	1260	3478	3787	1853
G372_RS0100865	NZ_ARQK01000024.1	7957	8067	-	111	726	1118	785	1385	1949	644
G372_RS0100870	NZ_ARQK01000024.1	8107	9450	-	1344	4372	6424	4794	6396	9329	4027
G372_RS0100875	NZ_ARQK01000024.1	9453	9884	-	432	1552	2872	1822	1576	1556	1085
G372_RS0100880	NZ_ARQK01000024.1	9891	10067	-	177	540	351	486	370	178	289
G372_RS0100885	NZ_ARQK01000024.1	10073	10576	-	504	3320	4414	3824	4205	3684	3038
G372_RS0100890	NZ_ARQK01000024.1	10607	10954	-	348	1205	1925	1216	1296	1022	752
G372_RS0100895	NZ_ARQK01000024.1	10968	11495	-	528	5484	6140	5780	6508	4847	4000
G372_RS0100900	NZ_ARQK01000024.1	11509	11898	-	390	1352	2294	1348	1892	3071	904
G372_RS0100905	NZ_ARQK01000024.1	11915	12217	-	303	1941	927	1840	2135	1345	1427
G372_RS0100910	NZ_ARQK01000024.1	12234	12770	-	537	4707	5833	5520	6699	6747	3314
G372_RS0100915	NZ_ARQK01000024.1	12790	13101	-	312	1772	3341	1973	2763	4731	1166
G372_RS0100920	NZ_ARQK01000024.1	13112	13477	-	366	2809	1456	2908	3374	2221	1871
G372_RS0100925	NZ_ARQK01000024.1	13502	13765	-	264	3336	2602	3324	4634	2806	2141
G372_RS0100930	NZ_ARQK01000024.1	13773	13961	-	189	847	813	669	1162	1098	451
G372_RS0100935	NZ_ARQK01000024.1	13964	14374	-	411	3769	2453	3539	4795	3507	2856
G372_RS0100940	NZ_ARQK01000024.1	14390	15067	-	678	4764	5478	4738	7824	8920	3192
G372_RS0100945	NZ_ARQK01000024.1	15073	15408	-	336	2876	2497	2648	5383	5717	2409
G372_RS0100950	NZ_ARQK01000024.1	15421	15690	-	270	1399	1892	1504	2021	3753	670
G372_RS0100955	NZ_ARQK01000024.1	15706	16524	-	819	8333	8620	7400	15202	12985	5949
G372_RS0100960	NZ_ARQK01000024.1	16530	16823	-	294	572	1033	499	1604	2677	524
G372_RS0100965	NZ_ARQK01000024.1	16823	17425	-	603	3255	2122	2722	7274	6182	2715
G372_RS0100970	NZ_ARQK01000024.1	17434	18075	-	642	2068	2564	1899	7807	11170	2678
G372_RS0100975	NZ_ARQK01000024.1	18190	18498	-	309	1310	1970	1262	3202	5976	821
G372_RS0100980	NZ_ARQK01000024.1	18507	18866	-	360	2136	3021	2078	3376	5280	1069
G372_RS0100985	NZ_ARQK01000025.1	278	3052	+	2775	1912	3145	1824	3434	4611	1124
G372_RS0100990	NZ_ARQK01000025.1	3084	3755	-	672	439	573	356	512	484	353
G372_RS0100995	NZ_ARQK01000025.1	3994	4263	+	270	476	796	567	449	868	161
G372_RS0101000	NZ_ARQK01000025.1	4263	4874	+	612	599	301	477	447	232	247
G372_RS0101005	NZ_ARQK01000025.1	4874	6211	+	1338	511	521	418	277	235	153
G372_RS0101010	NZ_ARQK01000025.1	6218	6541	+	324	36	67	32	27	11	10
G372_RS0101015	NZ_ARQK01000025.1	6541	7437	+	897	161	116	121	130	91	68
G372_RS0101020	NZ_ARQK01000025.1	7487	8038	+	552	106	199	106	87	46	53
G372_RS0101025	NZ_ARQK01000025.1	8045	10426	+	2382	222	414	181	157	160	98
G372_RS0101030	NZ_ARQK01000025.1	10469	11650	+	1182	246	421	222	285	276	161
G372_RS0101035	NZ_ARQK01000025.1	11650	12423	+	774	145	212	108	164	161	102
G372_RS0101040	NZ_ARQK01000025.1	12475	12927	+	453	344	219	290	641	446	364
G372_RS0101045	NZ_ARQK01000025.1	12927	13646	+	720	246	391	169	213	141	100
G372_RS0101050	NZ_ARQK01000025.1	13659	14396	+	738	288	274	240	352	259	171
G372_RS0101055	NZ_ARQK01000025.1	14510	14902	+	393	407	225	405	487	279	346
G372_RS0101060	NZ_ARQK01000025.1	15032	15514	-	483	562	871	634	481	461	320
G372_RS0101065	NZ_ARQK01000025.1	15709	16311	+	603	585	496	583	488	349	419
G372_RS0101070	NZ_ARQK01000025.1	16325	17788	-	1464	2926	2526	2723	1929	1318	1577
G372_RS0101075	NZ_ARQK01000025.1	17912	18874	-	963	339	441	298	553	578	288
G372_RS0101080	NZ_ARQK01000025.1	18897	19457	-	561	1157	679	1089	1280	689	787
G372_RS0101085	NZ_ARQK01000025.1	19521	20582	+	1062	175	185	148	123	60	86
G372_RS0101090	NZ_ARQK01000025.1	20680	22518	+	1839	1446	1671	1285	792	617	506
G372_RS0101095	NZ_ARQK01000025.1	22518	24587	+	2070	2978	2988	3046	1846	1530	1299
G372_RS0101100	NZ_ARQK01000026.1	300	554	-	255	65	67	70	101	83	47
G372_RS0101105	NZ_ARQK01000026.1	562	2463	-	1902	403	610	396	592	661	234
G372_RS0101110	NZ_ARQK01000026.1	2777	3625	+	849	304	281	309	299	384	86
G372_RS0101115	NZ_ARQK01000026.1	3827	4630	-	804	92	129	89	106	139	37
G372_RS0101120	NZ_ARQK01000026.1	4624	5241	-	618	33	29	36	60	44	28
G372_RS0101125	NZ_ARQK01000026.1	5588	6838	-	1251	51	66	37	112	86	46
G372_RS0101130	NZ_ARQK01000026.1	6879	7214	-	336	0	7	3	5	15	2
G372_RS0101135	NZ_ARQK01000026.1	7283	7996	-	714	27	42	31	58	99	28
G372_RS0101140	NZ_ARQK01000026.1	8254	8616	-	363	193	169	192	291	158	119
G372_RS0101145	NZ_ARQK01000026.1	8728	9717	+	990	256	303	246	255	325	134
G372_RS0101150	NZ_ARQK01000026.1	9707	10528	+	822	79	86	77	136	111	60
G372_RS0101155	NZ_ARQK01000026.1	10535	11713	-	1179	110	147	142	177	169	85
G372_RS0101160	NZ_ARQK01000026.1	11937	12551	-	615	25	34	25	12	23	16
G372_RS0101165	NZ_ARQK01000026.1	12554	13162	-	609	38	51	19	28	24	25
G372_RS0101170	NZ_ARQK01000026.1	13155	14603	-	1449	112	80	79	71	54	53
G372_RS0101175	NZ_ARQK01000026.1	14613	15128	-	516	4	9	17	6	7	5
G372_RS0101180	NZ_ARQK01000026.1	15286	16161	+	876	794	793	770	1172	955	463
G372_RS0101185	NZ_ARQK01000026.1	16191	16844	-	654	293	398	302	181	151	149
G372_RS0101190	NZ_ARQK01000026.1	16837	17595	+	759	72	68	48	59	55	34
G372_RS0101195	NZ_ARQK01000026.1	17677	21465	-	3789	11800	15383	12064	15465	20889	6594
G372_RS0101200	NZ_ARQK01000026.1	21623	22360	+	738	2479	3561	2126	4097	5185	2002
G372_RS0101205	NZ_ARQK01000026.1	22394	23239	-	846	8498	8589	8572	11990	12261	5951
G372_RS0101210	NZ_ARQK01000026.1	23239	24054	-	816	5451	6761	5315	12105	16870	6249
G372_RS0101215	NZ_ARQK01000026.1	24554	26116	+	1563	1076	1104	869	1493	1496	614
G372_RS0101220	NZ_ARQK01000026.1	26128	27414	+	1287	918	1330	918	1520	1946	568
G372_RS0101230	NZ_ARQK01000027.1	368	1834	-	1467	1236	1171	1191	1201	942	799
G372_RS0101235	NZ_ARQK01000027.1	1837	3513	-	1677	1757	2387	1593	1358	1315	838
G372_RS0101240	NZ_ARQK01000027.1	3569	4831	-	1263	2065	2108	2045	1415	1214	1049
G372_RS0101245	NZ_ARQK01000027.1	4900	7107	+	2208	967	1122	801	419	315	285
G372_RS0101250	NZ_ARQK01000027.1	7393	7821	-	429	20	31	12	20	21	13
G372_RS0101255	NZ_ARQK01000027.1	8075	8341	-	267	107	135	126	135	127	63
G372_RS0101260	NZ_ARQK01000027.1	8328	8549	-	222	49	86	33	63	108	39
G372_RS0101265	NZ_ARQK01000027.1	8876	9109	+	234	27	92	25	48	37	33
G372_RS0101270	NZ_ARQK01000027.1	9112	9543	+	432	583	576	584	463	468	359
G372_RS0101275	NZ_ARQK01000027.1	9686	10630	-	945	39	36	35	36	71	25
G372_RS0101280	NZ_ARQK01000027.1	10647	11453	-	807	134	109	89	153	136	87
G372_RS0101285	NZ_ARQK01000027.1	11518	12924	-	1407	826	853	719	810	789	572
G372_RS0101290	NZ_ARQK01000027.1	13053	13235	-	183	46	48	42	37	52	22
G372_RS14135	NZ_ARQK01000027.1	13516	14004	-	489	50	81	64	46	55	32
G372_RS13725	NZ_ARQK01000027.1	14499	16502	-	2004	431	728	507	563	866	276
G372_RS0101295	NZ_ARQK01000027.1	16759	18264	-	1506	945	1336	859	821	1071	469
G372_RS0101300	NZ_ARQK01000027.1	18359	18904	-	546	407	254	413	297	184	163
G372_RS0101305	NZ_ARQK01000027.1	18963	19844	-	882	397	259	361	286	276	211
G372_RS0101310	NZ_ARQK01000027.1	19873	21066	-	1194	232	341	219	190	215	102
G372_RS0101315	NZ_ARQK01000027.1	21144	21848	-	705	407	502	480	450	382	206
G372_RS0101320	NZ_ARQK01000027.1	21882	22823	-	942	439	731	535	454	542	226
G372_RS0101325	NZ_ARQK01000027.1	22869	23795	-	927	781	678	828	598	440	292
G372_RS0101330	NZ_ARQK01000027.1	23761	24873	-	1113	552	700	659	728	822	362
G372_RS0101335	NZ_ARQK01000027.1	24917	29170	-	4254	3147	4257	3406	3168	3379	1540
G372_RS0101340	NZ_ARQK01000027.1	29293	30219	-	927	972	797	909	994	852	516
G372_RS0101345	NZ_ARQK01000027.1	30219	31910	-	1692	1174	1366	1070	990	1310	561
G372_RS0101350	NZ_ARQK01000028.1	236	1189	-	954	1732	2006	1371	1454	1718	891
G372_RS0101355	NZ_ARQK01000028.1	1259	2455	-	1197	1225	1643	1014	876	803	527
G372_RS0101360	NZ_ARQK01000028.1	2472	3680	-	1209	2982	2549	3077	3484	2798	2743
G372_RS0101365	NZ_ARQK01000028.1	3778	4359	-	582	108	152	105	140	162	68
G372_RS0101370	NZ_ARQK01000028.1	4359	4760	-	402	56	62	46	77	51	30
G372_RS0101375	NZ_ARQK01000028.1	4777	5013	-	237	40	38	37	48	39	23
G372_RS0101380	NZ_ARQK01000028.1	5244	5993	+	750	1590	1490	1613	884	3980	571
G372_RS0101385	NZ_ARQK01000028.1	6093	6917	+	825	202	547	204	196	1043	113
G372_RS0101390	NZ_ARQK01000028.1	6917	7642	+	726	723	674	627	550	1054	294
G372_RS0101395	NZ_ARQK01000028.1	7790	9427	-	1638	615	668	550	530	558	329
G372_RS0101400	NZ_ARQK01000028.1	9572	10150	+	579	2322	1447	2411	8776	7442	4469
G372_RS0101405	NZ_ARQK01000028.1	10165	10731	+	567	909	753	806	3868	2937	1596
G372_RS0101410	NZ_ARQK01000028.1	10741	11724	+	984	2286	2657	2284	8244	9181	3840
G372_RS0101415	NZ_ARQK01000028.1	11733	12215	+	483	98	215	68	309	226	176
G372_RS0101420	NZ_ARQK01000028.1	12295	13713	+	1419	3126	3126	2716	9631	12709	4261
G372_RS0101425	NZ_ARQK01000028.1	13769	14005	+	237	0	4	1	3	24	1
G372_RS0101430	NZ_ARQK01000028.1	14005	15807	+	1803	2934	3000	2936	5365	5702	2732
G372_RS0101435	NZ_ARQK01000028.1	15862	16629	+	768	604	1051	619	1021	1241	551
G372_RS0101440	NZ_ARQK01000028.1	16686	17039	+	354	849	1104	946	1052	1320	622
G372_RS0101445	NZ_ARQK01000028.1	17058	17762	+	705	644	657	526	683	764	324
G372_RS0101450	NZ_ARQK01000028.1	17771	18679	+	909	706	1546	627	634	712	363
G372_RS0101455	NZ_ARQK01000028.1	18699	19355	+	657	90	174	72	138	214	65
G372_RS0101460	NZ_ARQK01000028.1	19395	20159	+	765	781	637	730	978	942	592
G372_RS0101465	NZ_ARQK01000028.1	20170	20547	+	378	71	60	58	54	58	32
G372_RS0101470	NZ_ARQK01000028.1	20675	21889	+	1215	3221	3276	3238	5360	5903	2037
G372_RS0101475	NZ_ARQK01000028.1	21892	22773	+	882	3393	3906	3297	4123	4593	1592
G372_RS0101480	NZ_ARQK01000028.1	22906	24087	+	1182	1405	1359	1289	2124	2269	934
G372_RS0101485	NZ_ARQK01000028.1	24095	25387	+	1293	1763	1651	1628	1766	1503	838
G372_RS0101495	NZ_ARQK01000028.1	25871	28351	+	2481	3154	3299	3027	5736	5376	3521
G372_RS0101500	NZ_ARQK01000028.1	28369	29121	+	753	194	396	155	336	430	194
G372_RS0101505	NZ_ARQK01000028.1	29532	29996	+	465	207	167	205	271	194	167
G372_RS0101510	NZ_ARQK01000028.1	30165	30566	+	402	792	917	782	2819	4159	632
G372_RS0101515	NZ_ARQK01000028.1	30612	30833	+	222	439	408	388	1425	1735	302
G372_RS0101520	NZ_ARQK01000028.1	30868	31812	+	945	1033	1106	833	2865	3776	725
