#NAME	EP1910	RMT	KJB3	TJR	IB5	ALIDNA	IG7	B314	VS15G	NZC319	FB	E321	KJB23	KJB24	JW	IV	KV	EW	LW	RH	LH	GZ	RJ	LP	DS	MM	MN	BB
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Microtrichaceae;uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;uncultured;Ambiguous_taxa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;uncultured;bacterium YC-LK-LKJ22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;uncultured;bacterium YC-ZSS-LKJ199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;uncultured;NA	2	1	0	1	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	1
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Turicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Demequinaceae;Demequina	0	0	0	2	0	0	1	0	1	1	0	22	0	9	6	7	1	1	1	0	5	5	2	0	0	41	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;PeM15;NA;NA	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;PeM15;uncultured bacterium;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;uncultured	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;Coriobacteriia;OPB41;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;OPB41;uncultured bacterium;uncultured bacterium	0	0	1	1	0	0	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;MB-A2-108;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Bacteria;Actinobacteria;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;Ambiguous_taxa	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;NA	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured actinobacterium	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Gaiellales;uncultured;uncultured bacterium	0	0	2	4	0	0	0	1	2	0	0	1	5	4	0	1	0	1	0	0	0	0	0	0	0	8	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;67-14;uncultured bacterium	0	0	2	4	0	0	0	0	0	1	0	0	2	0	1	0	1	1	0	1	1	0	1	0	0	3	0	0
Bacteria;Actinobacteria;WCHB1-81;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Actinobacteria;WCHB1-81;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	6	1	5	0	0	2	0	1	1	4	5	3	1	1	1	0	1	0	2	4	1	0	0	9	0	0
Bacteria;Actinobacteria;WCHB1-81;uncultured organism;uncultured organism;uncultured organism	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Aegiribacteria;NA;NA;NA;NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Aegiribacteria;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium	2	1	7	9	12	0	1	5	3	17	0	23	9	40	24	60	0	0	6	0	13	9	15	0	0	315	3	0
Bacteria;Armatimonadetes;DG-56;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Armatimonadetes;NA;NA;uncultured bacterium;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Armatimonadetes;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Armatimonadetes;uncultured;NA;uncultured bacterium;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Armatimonadetes;uncultured;uncultured bacterium;uncultured bacterium;uncultured bacterium	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria;Atribacteria;JS1;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa	1	4	50	3	41	0	2	8	1	3	2	2	45	10	15	33	0	0	2	0	13	7	16	0	1	59	3	0
Bacteria;Atribacteria;JS1;NA;NA;NA	0	1	3	0	3	0	0	2	0	1	0	3	6	0	0	1	0	0	2	0	3	1	1	0	0	2	0	0
Bacteria;Atribacteria;JS1;uncultured bacterium;uncultured bacterium;uncultured bacterium	2	3	73	25	63	0	7	14	0	7	6	27	76	37	34	92	1	2	38	1	28	31	38	0	6	205	9	0
Bacteria;Atribacteria;JS1;uncultured organism;uncultured organism;uncultured organism	0	0	4	0	4	0	1	1	0	1	1	5	15	1	3	2	0	0	1	0	0	5	2	0	0	7	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;Ambiguous_taxa	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;NA	0	4	23	6	27	0	10	8	1	16	6	38	34	13	33	44	11	8	27	48	19	11	12	0	9	76	3	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured bacterium	1	7	23	11	17	0	4	6	3	7	6	12	32	13	21	74	4	8	28	15	15	28	17	0	13	154	7	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured Bacteroidales bacterium	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured Bacteroidetes bacterium	0	0	5	1	5	0	1	6	0	1	4	2	6	3	3	1	1	0	4	3	2	1	0	0	5	7	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes BD2-2;uncultured organism	1	3	5	0	6	0	3	1	0	4	1	3	6	0	4	13	27	44	35	82	2	2	0	0	61	39	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;NA	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;uncultured bacterium	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	4	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Ika33;uncultured bacterium	0	0	0	2	0	0	0	0	0	1	0	0	0	6	30	70	92	105	9	0	33	8	22	0	4	250	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;LKC2.127-25;uncultured bacterium	0	0	0	0	0	0	0	0	0	10	0	0	0	0	3	1	0	0	2	0	3	0	0	0	0	12	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Marinifilum	64	8	1	0	6	0	7	4	0	320	6	819	44	1	90	78	4	4	30	3	29	20	31	0	2	141	3	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;uncultured	2	2	0	4	1	0	1	0	0	9	0	9	2	3	36	4	0	0	5	0	0	4	0	0	1	11	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Alkaliflexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	11	0	1	0	0	0	10	4	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Anaerophaga	1	0	0	0	0	0	1	0	0	1	1	1	2	1	0	2	0	0	0	0	1	0	1	0	1	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Carboxylicivirga	3	14	1	2	2	0	3	12	2	1	7	10	141	9	31	25	1	0	50	0	1	9	2	0	28	39	11	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Labilibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Mangroviflexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	3	1	1	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Marinilabilia	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	16	9	16	51	0	1	1	0	0	47	33	5	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;NA	0	1	0	0	0	0	0	0	0	1	0	1	1	0	13	1	0	0	5	0	1	2	3	0	3	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;Saccharicrinis	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	3	0	0	0	0	0	2	4	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae;uncultured	3	5	17	10	24	0	12	18	3	48	6	127	72	38	57	119	8	6	278	3	39	71	51	0	145	373	46	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	36	0	0	0	0	10	9	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;uncultured bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	1	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;uncultured Bacteroidetes bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;ML635J-40 aquatic group;uncultured Sphingobacteriia bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;NA	0	0	0	0	0	0	1	0	0	2	0	3	1	2	3	1	1	6	1	0	2	2	0	0	2	10	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;uncultured bacterium	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	6	17	39	5	1	4	0	8	0	1	67	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;NA;uncultured organism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;BSV13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium	10	8	18	3	21	0	15	10	0	47	8	75	96	15	68	65	3	11	34	77	42	53	8	0	8	114	4	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;NA	0	1	1	1	1	0	1	0	0	4	3	5	3	1	1	4	1	0	1	0	3	1	1	0	0	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Roseimarinus	0	1	0	1	1	0	1	2	1	9	0	42	7	3	4	24	1	1	7	0	11	13	7	0	45	16	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Sunxiuqinia	1	4	0	0	0	0	1	0	0	2	2	2	1	1	1	7	1	1	11	0	1	1	0	0	28	16	3	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;Tangfeifania	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	2	3	2	0	0	0	2	4	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured	24	6	22	3	16	0	4	8	3	35	4	74	49	11	27	81	8	11	20	9	46	62	5	0	32	88	5	1
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prolixibacteraceae;WCHB1-32	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	2	1	1	0	0	1	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Blvii28 wastewater-sludge group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rs-E47 termite group;GWE2-42-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Salinivirgaceae;uncultured	1	4	0	0	0	0	5	0	0	26	0	0	2	0	28	11	1	4	53	7	9	7	4	0	104	13	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;Ambiguous_taxa	0	0	3	2	2	0	0	0	0	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	0	3	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;bacterium YC-LK-LKJ31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;NA	0	0	6	9	4	0	0	0	2	2	0	4	5	25	23	43	9	5	12	0	13	6	8	0	0	386	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;uncultured bacterium	2	0	3	6	7	0	0	1	0	1	1	15	5	8	17	50	25	32	11	1	15	8	6	0	1	287	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;uncultured Cytophagales bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;SB-5;uncultured organism	0	1	2	0	0	0	0	0	0	4	1	4	0	6	7	20	6	2	2	3	7	1	1	0	5	21	0	0
